model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
logisticRegression,0.0001595150741745095,0.0,0.9998404849258254,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_linear,0.00014697236919459142,0.0,0.9997060552616108,0.00014697236919459142,0.9998530276308054,0.7070548090589417,0.6666666666666666,1.1141687141687142,0.9998530060267529,0.5,1.0
svm_2,0.00013693002875530603,0.0,0.9998630699712447,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_3,0.00012683916793505834,0.0,0.9997463216641299,0.00012683916793505834,0.9998731608320649,0.7070619296574556,0.6666666666666666,1.741878453038674,0.9998731447418495,0.5,1.0
svm_rbf,0.00013528138528138528,0.0,0.9998647186147186,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest,0.00017247326664367022,0.0,0.9960331148671956,0.0037944118661607453,0.9962055881338393,0.20811837492642182,0.08333333333333333,0.09451099764336214,0.9962049335863378,0.043478260869565216,1.0
ridgeClassifierCV,0.00017295053614666206,0.0,0.9932549290902801,0.006572120373573158,0.9934278796264269,0.15960100433284552,0.05,0.050451542624218144,0.9934267427780661,0.02564102564102564,1.0
passiveAggressiveClassifier,0.0001589825119236884,0.0,0.985214626391097,0.014626391096979332,0.9853736089030206,0.10293391152510861,0.021276595744680854,0.02221250452530046,0.9853712831928765,0.010752688172043012,1.0
